country_code,year,event,experiment,intensity_mean,intensity_max,intensity_min,n_grid_points
AE,1850,precip,historical,0.0,0.0,0.0,12
AE,1851,precip,historical,0.0,0.0,0.0,12
AE,1852,precip,historical,0.0,0.0,0.0,12
AE,1853,precip,historical,0.0,0.0,0.0,12
AE,1854,precip,historical,0.0,0.0,0.0,12
AE,1855,precip,historical,0.0,0.0,0.0,12
AE,1856,precip,historical,0.0,0.0,0.0,12
AE,1857,precip,historical,0.0,0.0,0.0,12
AE,1858,precip,historical,0.0,0.0,0.0,12
AE,1859,precip,historical,0.0,0.0,0.0,12
AE,1860,precip,historical,0.0,0.0,0.0,12
AE,1861,precip,historical,0.0,0.0,0.0,12
AE,1862,precip,historical,0.0,0.0,0.0,12
AE,1863,precip,historical,0.0,0.0,0.0,12
AE,1864,precip,historical,0.0,0.0,0.0,12
AE,1865,precip,historical,0.0,0.0,0.0,12
AE,1866,precip,historical,0.0,0.0,0.0,12
AE,1867,precip,historical,0.0,0.0,0.0,12
AE,1868,precip,historical,0.0,0.0,0.0,12
AE,1869,precip,historical,0.0,0.0,0.0,12
AE,1870,precip,historical,0.0,0.0,0.0,12
AE,1871,precip,historical,0.0,0.0,0.0,12
AE,1872,precip,historical,0.0,0.0,0.0,12
AE,1873,precip,historical,0.0,0.0,0.0,12
AE,1874,precip,historical,0.0,0.0,0.0,12
AE,1875,precip,historical,0.0,0.0,0.0,12
AE,1876,precip,historical,0.0,0.0,0.0,12
AE,1877,precip,historical,0.0,0.0,0.0,12
AE,1878,precip,historical,0.0,0.0,0.0,12
AE,1879,precip,historical,0.0,0.0,0.0,12
AE,1880,precip,historical,0.0,0.0,0.0,12
AE,1881,precip,historical,0.0,0.0,0.0,12
AE,1882,precip,historical,0.0,0.0,0.0,12
AE,1883,precip,historical,0.0,0.0,0.0,12
AE,1884,precip,historical,0.0,0.0,0.0,12
AE,1885,precip,historical,0.0,0.0,0.0,12
AE,1886,precip,historical,0.0,0.0,0.0,12
AE,1887,precip,historical,0.0,0.0,0.0,12
AE,1888,precip,historical,0.0,0.0,0.0,12
AE,1889,precip,historical,0.0,0.0,0.0,12
AE,1890,precip,historical,0.0,0.0,0.0,12
AE,1891,precip,historical,0.0,0.0,0.0,12
AE,1892,precip,historical,0.0,0.0,0.0,12
AE,1893,precip,historical,0.0,0.0,0.0,12
AE,1894,precip,historical,0.0,0.0,0.0,12
AE,1895,precip,historical,0.0,0.0,0.0,12
AE,1896,precip,historical,0.0,0.0,0.0,12
AE,1897,precip,historical,0.0,0.0,0.0,12
AE,1898,precip,historical,0.0,0.0,0.0,12
AE,1899,precip,historical,0.0,0.0,0.0,12
AE,1900,precip,historical,0.0,0.0,0.0,12
AE,1901,precip,historical,0.0,0.0,0.0,12
AE,1902,precip,historical,0.0,0.0,0.0,12
AE,1903,precip,historical,0.0,0.0,0.0,12
AE,1904,precip,historical,0.0,0.0,0.0,12
AE,1905,precip,historical,0.0,0.0,0.0,12
AE,1906,precip,historical,0.0,0.0,0.0,12
AE,1907,precip,historical,0.0,0.0,0.0,12
AE,1908,precip,historical,0.0,0.0,0.0,12
AE,1909,precip,historical,0.0,0.0,0.0,12
AE,1910,precip,historical,0.0,0.0,0.0,12
AE,1911,precip,historical,0.0,0.0,0.0,12
AE,1912,precip,historical,0.0,0.0,0.0,12
AE,1913,precip,historical,0.0,0.0,0.0,12
AE,1914,precip,historical,0.0,0.0,0.0,12
AE,1915,precip,historical,0.0,0.0,0.0,12
AE,1916,precip,historical,0.0,0.0,0.0,12
AE,1917,precip,historical,0.0,0.0,0.0,12
AE,1918,precip,historical,0.0,0.0,0.0,12
AE,1919,precip,historical,0.0,0.0,0.0,12
AE,1920,precip,historical,0.0,0.0,0.0,12
AE,1921,precip,historical,0.0,0.0,0.0,12
AE,1922,precip,historical,0.0,0.0,0.0,12
AE,1923,precip,historical,0.0,0.0,0.0,12
AE,1924,precip,historical,0.0,0.0,0.0,12
AE,1925,precip,historical,0.0,0.0,0.0,12
AE,1926,precip,historical,0.0,0.0,0.0,12
AE,1927,precip,historical,0.0,0.0,0.0,12
AE,1928,precip,historical,0.0,0.0,0.0,12
AE,1929,precip,historical,0.0,0.0,0.0,12
AE,1930,precip,historical,0.0,0.0,0.0,12
AE,1931,precip,historical,0.0,0.0,0.0,12
AE,1932,precip,historical,0.0,0.0,0.0,12
AE,1933,precip,historical,0.0,0.0,0.0,12
AE,1934,precip,historical,0.0,0.0,0.0,12
AE,1935,precip,historical,0.0,0.0,0.0,12
AE,1936,precip,historical,0.0,0.0,0.0,12
AE,1937,precip,historical,0.0,0.0,0.0,12
AE,1938,precip,historical,0.0,0.0,0.0,12
AE,1939,precip,historical,0.0,0.0,0.0,12
AE,1940,precip,historical,0.0,0.0,0.0,12
AE,1941,precip,historical,0.0,0.0,0.0,12
AE,1942,precip,historical,0.0,0.0,0.0,12
AE,1943,precip,historical,0.0,0.0,0.0,12
AE,1944,precip,historical,0.0,0.0,0.0,12
AE,1945,precip,historical,0.0,0.0,0.0,12
AE,1946,precip,historical,0.0,0.0,0.0,12
AE,1947,precip,historical,0.0,0.0,0.0,12
AE,1948,precip,historical,0.0,0.0,0.0,12
AE,1949,precip,historical,0.0,0.0,0.0,12
AE,1950,precip,historical,0.0,0.0,0.0,12
AE,1951,precip,historical,0.0,0.0,0.0,12
AE,1952,precip,historical,0.0,0.0,0.0,12
AE,1953,precip,historical,0.0,0.0,0.0,12
AE,1954,precip,historical,0.0,0.0,0.0,12
