country_code,year,event,experiment,intensity_mean,intensity_max,intensity_min,n_grid_points
AL,1850,sea_level,abrupt-4xCO2,0.4506485975,0.4663166,0.43609238,12
AL,1851,sea_level,abrupt-4xCO2,0.4513746575,0.46089265,0.44410846,12
AL,1852,sea_level,abrupt-4xCO2,0.44967843916666667,0.45905718,0.4380789,12
AL,1853,sea_level,abrupt-4xCO2,0.45543087416666667,0.46711603,0.44238448,12
AL,1854,sea_level,abrupt-4xCO2,0.45298569,0.4679533,0.44108376,12
AL,1855,sea_level,abrupt-4xCO2,0.45396300250000005,0.46508515,0.439581,12
AL,1856,sea_level,abrupt-4xCO2,0.4595465691666667,0.4690157,0.44894013,12
AL,1857,sea_level,abrupt-4xCO2,0.45848619916666666,0.47053337,0.45062628,12
AL,1858,sea_level,abrupt-4xCO2,0.4583062583333333,0.47035933,0.44410405,12
AL,1859,sea_level,abrupt-4xCO2,0.45999619999999997,0.4687034,0.45065048,12
AL,1860,sea_level,abrupt-4xCO2,0.459402745,0.46888492,0.44794238,12
AL,1861,sea_level,abrupt-4xCO2,0.45744950416666663,0.4682493,0.44247723,12
AL,1862,sea_level,abrupt-4xCO2,0.4588283983333333,0.47008404,0.44284797,12
AL,1863,sea_level,abrupt-4xCO2,0.45765793083333334,0.46918997,0.4415071,12
AL,1864,sea_level,abrupt-4xCO2,0.4579714066666667,0.46974695,0.44536558,12
AL,1865,sea_level,abrupt-4xCO2,0.45895894583333335,0.47098705,0.44965422,12
AL,1866,sea_level,abrupt-4xCO2,0.46060491666666664,0.47550952,0.4453759,12
AL,1867,sea_level,abrupt-4xCO2,0.45733944666666665,0.47124076,0.43715546,12
AL,1868,sea_level,abrupt-4xCO2,0.45675577333333334,0.4718422,0.44202757,12
AL,1869,sea_level,abrupt-4xCO2,0.46088927166666666,0.4676621,0.45308772,12
AL,1870,sea_level,abrupt-4xCO2,0.45347903416666663,0.46698973,0.4387598,12
AL,1871,sea_level,abrupt-4xCO2,0.45510848916666663,0.4694115,0.442539,12
AL,1872,sea_level,abrupt-4xCO2,0.45425081083333335,0.46777,0.44319844,12
AL,1873,sea_level,abrupt-4xCO2,0.4560635958333334,0.46920812,0.44277325,12
AL,1874,sea_level,abrupt-4xCO2,0.45658935083333335,0.4655119,0.44946918,12
AL,1875,sea_level,abrupt-4xCO2,0.4598590125,0.47448912,0.45063838,12
AL,1876,sea_level,abrupt-4xCO2,0.4573925683333333,0.4706671,0.44473603,12
AL,1877,sea_level,abrupt-4xCO2,0.45406464166666666,0.46780658,0.43086255,12
AL,1878,sea_level,abrupt-4xCO2,0.46217022916666667,0.4706801,0.44967124,12
AL,1879,sea_level,abrupt-4xCO2,0.4586846533333333,0.47084534,0.4444548,12
AL,1880,sea_level,abrupt-4xCO2,0.4603574733333333,0.47315297,0.4462048,12
AL,1881,sea_level,abrupt-4xCO2,0.46515983749999995,0.47234264,0.4497573,12
AL,1882,sea_level,abrupt-4xCO2,0.46120247500000006,0.47288623,0.44004187,12
AL,1883,sea_level,abrupt-4xCO2,0.462098555,0.4736774,0.44735804,12
AL,1884,sea_level,abrupt-4xCO2,0.46865715,0.47607946,0.45684072,12
AL,1885,sea_level,abrupt-4xCO2,0.46765961333333333,0.47861567,0.45321903,12
AL,1886,sea_level,abrupt-4xCO2,0.4695272108333333,0.4828134,0.45711625,12
AL,1887,sea_level,abrupt-4xCO2,0.4682667708333333,0.47722828,0.45509395,12
AL,1888,sea_level,abrupt-4xCO2,0.4692556616666667,0.48026928,0.45238742,12
AL,1889,sea_level,abrupt-4xCO2,0.4664210983333333,0.47738993,0.45067966,12
AL,1890,sea_level,abrupt-4xCO2,0.4654403183333333,0.47941577,0.4508618,12
AL,1891,sea_level,abrupt-4xCO2,0.4681472975,0.48026535,0.45907342,12
AL,1892,sea_level,abrupt-4xCO2,0.4698424483333333,0.48074996,0.46166253,12
AL,1893,sea_level,abrupt-4xCO2,0.4624042408333333,0.47762975,0.4468149,12
AL,1894,sea_level,abrupt-4xCO2,0.46281189083333335,0.476698,0.43979323,12
AL,1895,sea_level,abrupt-4xCO2,0.4672883741666667,0.47861898,0.4583477,12
AL,1896,sea_level,abrupt-4xCO2,0.4650976308333334,0.47752976,0.4542388,12
AL,1897,sea_level,abrupt-4xCO2,0.4664785308333333,0.47848308,0.44805434,12
AL,1898,sea_level,abrupt-4xCO2,0.466346025,0.4777532,0.45583904,12
AL,1899,sea_level,abrupt-4xCO2,0.46564734,0.48262796,0.4493889,12
AL,1900,sea_level,abrupt-4xCO2,0.467964015,0.47875294,0.4595771,12
AL,1901,sea_level,abrupt-4xCO2,0.466962085,0.478974,0.45632502,12
AL,1902,sea_level,abrupt-4xCO2,0.4670567175,0.480464,0.4499859,12
AL,1903,sea_level,abrupt-4xCO2,0.4699748108333333,0.48194417,0.45859623,12
AL,1904,sea_level,abrupt-4xCO2,0.47118373750000003,0.47941282,0.46138868,12
AL,1905,sea_level,abrupt-4xCO2,0.4668824333333333,0.47994354,0.45068005,12
AL,1906,sea_level,abrupt-4xCO2,0.46856874916666663,0.47955886,0.4490311,12
AL,1907,sea_level,abrupt-4xCO2,0.46981550083333334,0.48489276,0.45786548,12
AL,1908,sea_level,abrupt-4xCO2,0.46668651499999997,0.48058227,0.45062545,12
AL,1909,sea_level,abrupt-4xCO2,0.4678328425,0.48221627,0.45279756,12
AL,1910,sea_level,abrupt-4xCO2,0.47103601333333334,0.48101187,0.45229486,12
AL,1911,sea_level,abrupt-4xCO2,0.4713245758333333,0.4812896,0.45936385,12
AL,1912,sea_level,abrupt-4xCO2,0.4724041108333333,0.48599735,0.45716813,12
AL,1913,sea_level,abrupt-4xCO2,0.4758281541666667,0.486102,0.46282256,12
AL,1914,sea_level,abrupt-4xCO2,0.47838770416666665,0.49344993,0.46618977,12
AL,1915,sea_level,abrupt-4xCO2,0.4761511125,0.48838305,0.46782675,12
AL,1916,sea_level,abrupt-4xCO2,0.4749869775,0.48516193,0.46293402,12
AL,1917,sea_level,abrupt-4xCO2,0.4756529208333333,0.4876704,0.46012744,12
AL,1918,sea_level,abrupt-4xCO2,0.4739646175,0.48767427,0.45669293,12
AL,1919,sea_level,abrupt-4xCO2,0.4740916,0.4840426,0.45559862,12
AL,1920,sea_level,abrupt-4xCO2,0.47537342833333335,0.48601094,0.46129408,12
AL,1921,sea_level,abrupt-4xCO2,0.4768153716666667,0.4864074,0.46566674,12
AL,1922,sea_level,abrupt-4xCO2,0.47310136166666666,0.4842886,0.46283486,12
AL,1923,sea_level,abrupt-4xCO2,0.4775617375,0.49362484,0.46145424,12
AL,1924,sea_level,abrupt-4xCO2,0.4770907258333333,0.4895455,0.46506,12
AL,1925,sea_level,abrupt-4xCO2,0.4804676391666667,0.49273518,0.47000706,12
AL,1926,sea_level,abrupt-4xCO2,0.48308205,0.491358,0.47021928,12
AL,1927,sea_level,abrupt-4xCO2,0.4779779866666667,0.494136,0.46116152,12
AL,1928,sea_level,abrupt-4xCO2,0.47964840166666667,0.49297607,0.46377885,12
AL,1929,sea_level,abrupt-4xCO2,0.4842773266666667,0.49427542,0.46531525,12
AL,1930,sea_level,abrupt-4xCO2,0.4836480458333334,0.5021727,0.46165657,12
AL,1931,sea_level,abrupt-4xCO2,0.4857133158333333,0.49781096,0.4710269,12
AL,1932,sea_level,abrupt-4xCO2,0.4845865458333333,0.49531826,0.47344747,12
AL,1933,sea_level,abrupt-4xCO2,0.48781751333333334,0.49958253,0.47218725,12
AL,1934,sea_level,abrupt-4xCO2,0.48740022583333337,0.49955025,0.47372904,12
AL,1935,sea_level,abrupt-4xCO2,0.48973135,0.49780142,0.47804645,12
AL,1936,sea_level,abrupt-4xCO2,0.4901335191666667,0.50613075,0.47760084,12
AL,1937,sea_level,abrupt-4xCO2,0.4880993808333333,0.50134,0.47540906,12
AL,1938,sea_level,abrupt-4xCO2,0.4896874258333333,0.49983945,0.4724234,12
AL,1939,sea_level,abrupt-4xCO2,0.4928825683333333,0.5003432,0.4783701,12
AL,1940,sea_level,abrupt-4xCO2,0.48946098916666664,0.5011381,0.46931505,12
AL,1941,sea_level,abrupt-4xCO2,0.4916915391666667,0.50585246,0.4782258,12
AL,1942,sea_level,abrupt-4xCO2,0.49163848833333335,0.50466937,0.4781425,12
AL,1943,sea_level,abrupt-4xCO2,0.4932034933333333,0.50695485,0.47746256,12
AL,1944,sea_level,abrupt-4xCO2,0.49172145166666664,0.5068672,0.47911575,12
AL,1945,sea_level,abrupt-4xCO2,0.4933481116666667,0.50591874,0.4777768,12
AL,1946,sea_level,abrupt-4xCO2,0.4969705258333333,0.5067561,0.48556435,12
AL,1947,sea_level,abrupt-4xCO2,0.49550443083333334,0.5057317,0.4866186,12
AL,1948,sea_level,abrupt-4xCO2,0.49734553416666666,0.5075667,0.4881238,12
AL,1949,sea_level,abrupt-4xCO2,0.497663215,0.50893956,0.4844226,12
AL,1950,sea_level,abrupt-4xCO2,0.4921274625,0.5087217,0.47711945,12
AL,1951,sea_level,abrupt-4xCO2,0.4950278758333333,0.5051984,0.48705113,12
AL,1952,sea_level,abrupt-4xCO2,0.4955467591666667,0.50929385,0.48558196,12
AL,1953,sea_level,abrupt-4xCO2,0.49785292499999995,0.505687,0.48495618,12
AL,1954,sea_level,abrupt-4xCO2,0.496836875,0.50990015,0.47945964,12
AL,1955,sea_level,abrupt-4xCO2,0.496287635,0.51115364,0.4786968,12
AL,1956,sea_level,abrupt-4xCO2,0.5001177458333333,0.5105937,0.4911249,12
AL,1957,sea_level,abrupt-4xCO2,0.50035381,0.5152064,0.48387608,12
AL,1958,sea_level,abrupt-4xCO2,0.49854416749999997,0.5123374,0.48298958,12
AL,1959,sea_level,abrupt-4xCO2,0.5001031575,0.5090696,0.4894239,12
AL,1960,sea_level,abrupt-4xCO2,0.4991200308333334,0.50929093,0.48851907,12
AL,1961,sea_level,abrupt-4xCO2,0.5001246191666667,0.5147038,0.48073843,12
AL,1962,sea_level,abrupt-4xCO2,0.5037157691666666,0.51344544,0.49280214,12
AL,1963,sea_level,abrupt-4xCO2,0.5034437666666667,0.5139759,0.48660362,12
AL,1964,sea_level,abrupt-4xCO2,0.5034778966666666,0.5185643,0.48671842,12
AL,1965,sea_level,abrupt-4xCO2,0.500662705,0.51130235,0.48309907,12
AL,1966,sea_level,abrupt-4xCO2,0.5041697341666667,0.5149644,0.49345043,12
AL,1967,sea_level,abrupt-4xCO2,0.50136703,0.5126688,0.48546448,12
AL,1968,sea_level,abrupt-4xCO2,0.49873171833333335,0.5145994,0.48259535,12
AL,1969,sea_level,abrupt-4xCO2,0.50483431,0.5151358,0.49511445,12
AL,1970,sea_level,abrupt-4xCO2,0.5063735708333333,0.51651114,0.4935286,12
AL,1971,sea_level,abrupt-4xCO2,0.5027534191666667,0.51530147,0.4897071,12
AL,1972,sea_level,abrupt-4xCO2,0.5039814516666666,0.51552504,0.48888516,12
AL,1973,sea_level,abrupt-4xCO2,0.50309193,0.5123258,0.48713923,12
