country_code,year,event,experiment,intensity_mean,intensity_max,intensity_min,n_grid_points
AE,1850,snow,historical,0.0,0.0,0.0,12
AE,1851,snow,historical,0.0,0.0,0.0,12
AE,1852,snow,historical,0.0,0.0,0.0,12
AE,1853,snow,historical,0.0,0.0,0.0,12
AE,1854,snow,historical,0.0,0.0,0.0,12
AE,1855,snow,historical,0.0,0.0,0.0,12
AE,1856,snow,historical,0.0,0.0,0.0,12
AE,1857,snow,historical,0.0,0.0,0.0,12
AE,1858,snow,historical,0.0,0.0,0.0,12
AE,1859,snow,historical,0.0,0.0,0.0,12
AE,1860,snow,historical,0.0,0.0,0.0,12
AE,1861,snow,historical,0.0,0.0,0.0,12
AE,1862,snow,historical,0.0,0.0,0.0,12
AE,1863,snow,historical,0.0,0.0,0.0,12
AE,1864,snow,historical,0.0,0.0,0.0,12
AE,1865,snow,historical,0.0,0.0,0.0,12
AE,1866,snow,historical,0.0,0.0,0.0,12
AE,1867,snow,historical,0.0,0.0,0.0,12
AE,1868,snow,historical,0.0,0.0,0.0,12
AE,1869,snow,historical,0.0,0.0,0.0,12
AE,1870,snow,historical,0.0,0.0,0.0,12
AE,1871,snow,historical,0.0,0.0,0.0,12
AE,1872,snow,historical,0.0,0.0,0.0,12
AE,1873,snow,historical,0.0,0.0,0.0,12
AE,1874,snow,historical,0.0,0.0,0.0,12
AE,1875,snow,historical,0.0,0.0,0.0,12
AE,1876,snow,historical,0.0,0.0,0.0,12
AE,1877,snow,historical,0.0,0.0,0.0,12
AE,1878,snow,historical,0.0,0.0,0.0,12
AE,1879,snow,historical,0.0,0.0,0.0,12
AE,1880,snow,historical,0.0,0.0,0.0,12
AE,1881,snow,historical,0.0,0.0,0.0,12
AE,1882,snow,historical,0.0,0.0,0.0,12
AE,1883,snow,historical,0.0,0.0,0.0,12
AE,1884,snow,historical,0.0,0.0,0.0,12
AE,1885,snow,historical,0.0,0.0,0.0,12
AE,1886,snow,historical,0.0,0.0,0.0,12
AE,1887,snow,historical,0.0,0.0,0.0,12
AE,1888,snow,historical,0.0,0.0,0.0,12
AE,1889,snow,historical,0.0,0.0,0.0,12
AE,1890,snow,historical,0.0,0.0,0.0,12
AE,1891,snow,historical,0.0,0.0,0.0,12
