year,climate_zone,continent,mean_intensity,record_freq,max_streak,pct_above_p90
1850,Polar,Antarctica,0.8433,1.0,1,0.3935
1850,Polar,Asia,0.5798,1.0,1,0.4353
1850,Polar,Europe,0.5596,1.0,1,0.1364
1850,Polar,North America,0.662,1.0,1,0.425
1850,Polar,Ocean / Unclassified,0.8306,1.0,1,0.4701
1850,Temperate,Africa,0.5546,1.0,1,0.0185
1850,Temperate,Antarctica,0.6495,1.0,1,0.4514
1850,Temperate,Asia,0.3587,1.0,1,0.1825
1850,Temperate,Australia-Oceania,0.5548,1.0,1,0.1569
1850,Temperate,Europe,0.3409,1.0,1,0.1552
1850,Temperate,North America,0.4558,1.0,1,0.2027
1850,Temperate,Ocean / Unclassified,0.6482,1.0,1,0.2629
1850,Temperate,South America,0.5317,1.0,1,0.2389
1850,Tropical,Africa,0.4468,1.0,1,0.0182
1850,Tropical,Asia,0.5743,1.0,1,0.0763
1850,Tropical,Australia-Oceania,0.5495,1.0,1,0.1106
1850,Tropical,North America,0.6328,1.0,1,0.0625
1850,Tropical,Ocean / Unclassified,0.6671,1.0,1,0.0925
1850,Tropical,South America,0.3623,1.0,1,0.0944
1851,Polar,Antarctica,0.8404,0.4387,2,0.3079
1851,Polar,Asia,0.5721,0.306,2,0.25
1851,Polar,Europe,0.5544,0.2727,2,0.0909
1851,Polar,North America,0.655,0.3875,2,0.2438
1851,Polar,Ocean / Unclassified,0.8324,0.5858,2,0.5
1851,Temperate,Africa,0.5583,0.5444,2,0.037
1851,Temperate,Antarctica,0.6496,0.5243,2,0.4201
1851,Temperate,Asia,0.3582,0.5035,2,0.2035
1851,Temperate,Australia-Oceania,0.5576,0.5392,2,0.1324
1851,Temperate,Europe,0.3395,0.4368,2,0.069
1851,Temperate,North America,0.4527,0.4358,2,0.0743
1851,Temperate,Ocean / Unclassified,0.6477,0.4888,2,0.173
1851,Temperate,South America,0.5281,0.4556,2,0.0611
1851,Tropical,Africa,0.4522,0.6455,2,0.0485
1851,Tropical,Asia,0.5798,0.5458,2,0.1107
1851,Tropical,Australia-Oceania,0.5507,0.5096,2,0.1538
1851,Tropical,North America,0.6384,0.5312,2,0.0833
1851,Tropical,Ocean / Unclassified,0.6702,0.5689,2,0.1083
1851,Tropical,South America,0.3587,0.3778,2,0.05
1852,Polar,Antarctica,0.8376,0.1852,3,0.2755
1852,Polar,Asia,0.5603,0.069,3,0.0474
1852,Polar,Europe,0.5502,0.1818,3,0.0227
1852,Polar,North America,0.6442,0.1062,3,0.1312
1852,Polar,Ocean / Unclassified,0.8216,0.2239,3,0.1493
1852,Temperate,Africa,0.5592,0.3519,3,0.0111
1852,Temperate,Antarctica,0.6462,0.25,3,0.191
1852,Temperate,Asia,0.3568,0.2526,3,0.107
1852,Temperate,Australia-Oceania,0.5613,0.402,3,0.2108
1852,Temperate,Europe,0.3387,0.2989,3,0.046
1852,Temperate,North America,0.4557,0.3716,3,0.147
1852,Temperate,Ocean / Unclassified,0.6472,0.2865,3,0.1742
1852,Temperate,South America,0.526,0.2722,3,0.1111
1852,Tropical,Africa,0.4539,0.4303,3,0.0485
1852,Tropical,Asia,0.5815,0.4351,3,0.0992
1852,Tropical,Australia-Oceania,0.55,0.351,3,0.0962
1852,Tropical,North America,0.6417,0.3958,3,0.1458
1852,Tropical,Ocean / Unclassified,0.6623,0.2815,3,0.0709
1852,Tropical,South America,0.3655,0.4278,3,0.1222
1853,Polar,Antarctica,0.8362,0.1979,4,0.2199
1853,Polar,Asia,0.5718,0.1422,2,0.2069
1853,Polar,Europe,0.5513,0.2045,2,0.0682
1853,Polar,North America,0.6508,0.2406,4,0.1969
1853,Polar,Ocean / Unclassified,0.8214,0.0522,4,0.0299
1853,Temperate,Africa,0.5677,0.4296,4,0.1333
1853,Temperate,Antarctica,0.6476,0.2118,4,0.2778
1853,Temperate,Asia,0.3552,0.1842,4,0.1298
1853,Temperate,Australia-Oceania,0.5539,0.1863,4,0.1618
1853,Temperate,Europe,0.3431,0.3218,4,0.0575
1853,Temperate,North America,0.4584,0.3429,4,0.1639
1853,Temperate,Ocean / Unclassified,0.6471,0.2112,4,0.1461
1853,Temperate,South America,0.5345,0.3889,4,0.1833
1853,Tropical,Africa,0.4531,0.3121,4,0.0636
1853,Tropical,Asia,0.5685,0.1679,4,0.0687
1853,Tropical,Australia-Oceania,0.547,0.2115,4,0.101
1853,Tropical,North America,0.6437,0.3125,4,0.0625
1853,Tropical,Ocean / Unclassified,0.6672,0.2559,4,0.0728
1853,Tropical,South America,0.3612,0.2111,4,0.1167
