country_code,year,event,experiment,intensity_mean,intensity_max,intensity_min,n_grid_points
AL,1850,sea_level,historical,0.6093573658333333,0.61617845,0.59604007,12
AL,1851,sea_level,historical,0.6064738516666667,0.61679035,0.59499604,12
AL,1852,sea_level,historical,0.6043761291666666,0.61697763,0.5912285,12
AL,1853,sea_level,historical,0.6062992525,0.6131176,0.59549636,12
AL,1854,sea_level,historical,0.604682475,0.6130366,0.59194154,12
AL,1855,sea_level,historical,0.6038510833333334,0.6116371,0.59077024,12
AL,1856,sea_level,historical,0.6062737033333333,0.615683,0.5950048,12
AL,1857,sea_level,historical,0.6084161825,0.6145537,0.60377413,12
AL,1858,sea_level,historical,0.6042219974999999,0.61148626,0.5946471,12
AL,1859,sea_level,historical,0.6062356725,0.61172324,0.59930056,12
AL,1860,sea_level,historical,0.6061867758333334,0.61408675,0.5924744,12
AL,1861,sea_level,historical,0.6055781308333333,0.6155199,0.5958,12
AL,1862,sea_level,historical,0.6039120891666666,0.61153513,0.5967267,12
AL,1863,sea_level,historical,0.6023854566666667,0.60844576,0.5931226,12
AL,1864,sea_level,historical,0.6018254308333334,0.60915595,0.59288293,12
AL,1865,sea_level,historical,0.603758695,0.61088014,0.5965638,12
AL,1866,sea_level,historical,0.6030136841666667,0.6128915,0.5939055,12
AL,1867,sea_level,historical,0.6030923566666667,0.6117868,0.5940525,12
AL,1868,sea_level,historical,0.6009261658333332,0.60954046,0.59407485,12
AL,1869,sea_level,historical,0.6010211608333333,0.6089602,0.5894613,12
AL,1870,sea_level,historical,0.6000985525,0.6140298,0.58487827,12
AL,1871,sea_level,historical,0.5975543916666667,0.61098284,0.58711743,12
AL,1872,sea_level,historical,0.5999718083333333,0.6076402,0.59476215,12
AL,1873,sea_level,historical,0.59941937,0.6066489,0.59063905,12
AL,1874,sea_level,historical,0.5988969333333333,0.60559314,0.5880155,12
AL,1875,sea_level,historical,0.5981888841666666,0.6054316,0.59092355,12
AL,1876,sea_level,historical,0.5995300583333333,0.60495406,0.59443253,12
AL,1877,sea_level,historical,0.5986841091666667,0.6050407,0.59119964,12
AL,1878,sea_level,historical,0.597125595,0.60562533,0.58461523,12
AL,1879,sea_level,historical,0.5975132941666667,0.6094849,0.5845178,12
AL,1880,sea_level,historical,0.5972980775,0.6021104,0.5860476,12
AL,1881,sea_level,historical,0.5994758675,0.60816175,0.58971375,12
AL,1882,sea_level,historical,0.5961691666666666,0.6032205,0.58567625,12
AL,1883,sea_level,historical,0.5965829891666666,0.6040686,0.5878647,12
AL,1884,sea_level,historical,0.5958776775,0.6065221,0.5838861,12
AL,1885,sea_level,historical,0.598616315,0.61576086,0.5877753,12
AL,1886,sea_level,historical,0.5994925558333334,0.61513966,0.58755046,12
AL,1887,sea_level,historical,0.59710241,0.6050705,0.5879531,12
AL,1888,sea_level,historical,0.5961765633333334,0.60417753,0.5851794,12
AL,1889,sea_level,historical,0.5967256141666667,0.6069911,0.5882032,12
AL,1890,sea_level,historical,0.59747425,0.60205096,0.5902313,12
AL,1891,sea_level,historical,0.5972212808333334,0.602136,0.5872124,12
AL,1892,sea_level,historical,0.5977551416666667,0.6053012,0.5899567,12
AL,1893,sea_level,historical,0.5956244975,0.6025285,0.5861652,12
AL,1894,sea_level,historical,0.5950147275000001,0.60452884,0.5841713,12
AL,1895,sea_level,historical,0.6001804058333333,0.6085494,0.594438,12
AL,1896,sea_level,historical,0.5966645266666667,0.6044851,0.5887964,12
AL,1897,sea_level,historical,0.5980124441666667,0.60489297,0.5907219,12
AL,1898,sea_level,historical,0.5998337091666667,0.60705376,0.5914468,12
AL,1899,sea_level,historical,0.596241255,0.6045427,0.5847248,12
AL,1900,sea_level,historical,0.5966967333333334,0.60862476,0.58456284,12
AL,1901,sea_level,historical,0.5968601491666666,0.61143565,0.5862828,12
AL,1902,sea_level,historical,0.59734602,0.60628206,0.5844396,12
AL,1903,sea_level,historical,0.59597583,0.6016602,0.5867674,12
AL,1904,sea_level,historical,0.5981337908333334,0.60506105,0.59017116,12
AL,1905,sea_level,historical,0.5970929625,0.60202146,0.5901441,12
AL,1906,sea_level,historical,0.5959709766666667,0.6034892,0.58287865,12
AL,1907,sea_level,historical,0.5972201958333333,0.60579556,0.58505225,12
AL,1908,sea_level,historical,0.59178209,0.5988813,0.5751004,12
AL,1909,sea_level,historical,0.5946961975,0.60155237,0.58516246,12
AL,1910,sea_level,historical,0.5961133058333333,0.60441685,0.5898678,12
AL,1911,sea_level,historical,0.5959969433333333,0.60305405,0.5833616,12
AL,1912,sea_level,historical,0.59587997,0.6010414,0.59166366,12
AL,1913,sea_level,historical,0.5930767408333334,0.60229045,0.5805618,12
AL,1914,sea_level,historical,0.5963121266666667,0.60035706,0.58891445,12
