country_code,year,event,experiment,intensity_mean,intensity_max,intensity_min,n_grid_points
AE,1850,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1851,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1852,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1853,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1854,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1855,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1856,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1857,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1858,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1859,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1860,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1861,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1862,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1863,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1864,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1865,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1866,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1867,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1868,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1869,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1870,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1871,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1872,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1873,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1874,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1875,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1876,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1877,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1878,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1879,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1880,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1881,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1882,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1883,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1884,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1885,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1886,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1887,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1888,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1889,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1890,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1891,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1892,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1893,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1894,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1895,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1896,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1897,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1898,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1899,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1900,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1901,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1902,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1903,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1904,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1905,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1906,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1907,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1908,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1909,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1910,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1911,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1912,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1913,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1914,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1915,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1916,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1917,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1918,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1919,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1920,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1921,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1922,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1923,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1924,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1925,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1926,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1927,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1928,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1929,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1930,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1931,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1932,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1933,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1934,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1935,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1936,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1937,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1938,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1939,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1940,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1941,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1942,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1943,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1944,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1945,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1946,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1947,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1948,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1949,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1950,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1951,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1952,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1953,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1954,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1955,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1956,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1957,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1958,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1959,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1960,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1961,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1962,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1963,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1964,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1965,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1966,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1967,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1968,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1969,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1970,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1971,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1972,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1973,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1974,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1975,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1976,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1977,snow,abrupt-4xCO2,0.0,0.0,0.0,12
AE,1978,snow,abrupt-4xCO2,0.0,0.0,0.0,12
