year,event,experiment,intensity
1850,heat,historical,0.0026358678
1851,heat,historical,0.0029905343
1852,heat,historical,0.003367764
1853,heat,historical,0.0030614194
1854,heat,historical,0.0027476961
1855,heat,historical,0.0025521424
1856,heat,historical,0.0026525324
1857,heat,historical,0.0031746593
1858,heat,historical,0.0032811796
1859,heat,historical,0.0028091576
1860,heat,historical,0.0022364305
1861,heat,historical,0.0026192588
1862,heat,historical,0.0033344207
1863,heat,historical,0.0030289222
1864,heat,historical,0.002307285
1865,heat,historical,0.0023528426
1866,heat,historical,0.0027248326
1867,heat,historical,0.0030422679
1868,heat,historical,0.003111516
1869,heat,historical,0.0026322086
1870,heat,historical,0.0024620292
1871,heat,historical,0.002784732
1872,heat,historical,0.0037103323
1873,heat,historical,0.0028155616
1874,heat,historical,0.0020301864
1875,heat,historical,0.002694663
1876,heat,historical,0.0034849467
1877,heat,historical,0.0025190392
1878,heat,historical,0.0020231805
1879,heat,historical,0.0022292596
1880,heat,historical,0.0032294607
1881,heat,historical,0.0035526135
1882,heat,historical,0.0026974503
1883,heat,historical,0.002420051
1884,heat,historical,0.0018292711
1885,heat,historical,0.0025260937
1886,heat,historical,0.0032883857
1887,heat,historical,0.0027156477
1888,heat,historical,0.0021812038
1889,heat,historical,0.0024693704
1890,heat,historical,0.0031323202
1891,heat,historical,0.003207687
1892,heat,historical,0.0030788565
1893,heat,historical,0.0025456254
1894,heat,historical,0.0027563695
1895,heat,historical,0.0035775208
1896,heat,historical,0.0029317634
1897,heat,historical,0.0025331252
1898,heat,historical,0.002844686
1899,heat,historical,0.0030603923
1900,heat,historical,0.0029651748
1901,heat,historical,0.002866645
1902,heat,historical,0.003017244
1903,heat,historical,0.0023122914
1904,heat,historical,0.0022892116
1905,heat,historical,0.0024407594
1906,heat,historical,0.0026517357
1907,heat,historical,0.002688891
1908,heat,historical,0.0026093335
1909,heat,historical,0.0031199732
1910,heat,historical,0.0027503162
1911,heat,historical,0.0026393423
1912,heat,historical,0.0025129907
1913,heat,historical,0.0028141893
1914,heat,historical,0.0026745263
1915,heat,historical,0.0024649175
1916,heat,historical,0.0027825595
1917,heat,historical,0.0026147347
1918,heat,historical,0.002871002
1919,heat,historical,0.003252181
1920,heat,historical,0.0030382427
1921,heat,historical,0.0025018635
1922,heat,historical,0.0023047982
1923,heat,historical,0.0034171646
1924,heat,historical,0.0028114018
1925,heat,historical,0.00252685
1926,heat,historical,0.0029097782
1927,heat,historical,0.0037149594
1928,heat,historical,0.0026673812
1929,heat,historical,0.0021872919
1930,heat,historical,0.0027768777
1931,heat,historical,0.0032537365
1932,heat,historical,0.0031361543
1933,heat,historical,0.0027823816
1934,heat,historical,0.0028138892
1935,heat,historical,0.0031782757
1936,heat,historical,0.0030577783
1937,heat,historical,0.0023813248
1938,heat,historical,0.0031936683
